Player,Pos,FG%,3P%,2P%,eFG%,PS/G
Tristan Thompson,PF,0.547,,0.547,0.547,8.5
Marcus Thornton,SG,0.406,0.378,0.426,0.484,7.9
Anthony Tolliver,PF,0.41,0.366,0.534,0.545,6.3
P.J. Tucker,SF,0.438,0.345,0.506,0.511,9.1
Ronny Turiaf,C,,,,,0
Hedo Turkoglu,SF,0.441,0.432,0.469,0.601,3.7
Evan Turner,SG,0.429,0.277,0.458,0.451,9.5
Ekpe Udoh,PF,0.458,,0.458,0.458,0.9
Beno Udrih,PG,0.487,0.268,0.539,0.513,7.7
Jonas Valanciunas,C,0.572,0,0.573,0.572,12
Anderson Varejao,C,0.555,0,0.561,0.555,9.8
Greivis Vasquez,PG,0.408,0.379,0.436,0.5,9.5
